mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	0	0.5	0	5/8	6/8	2	1	a.i		a	i		i	i							m	1	1	0, -3, 1		0	0
2	1	1/2	1/2	2.5	0	0	6/8	2	1	iv6	VI	a	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
2	1	3	3	0.5	5/8	5/8	6/8	2	1	V	III6	a	i		V	V							M	1	1	1, 5, 2		1	1
3	2	7/2	7/2	2.5	0	0	6/8	2	1	V64(#6b5)/V		a	i		V64(#6b5)/V	V		64	#6b5	V			M	1	1	-4, 2, 6	12	2	-4
3	2	6	6	0.5	5/8	5/8	6/8	2	1	V43(b5)/V		a	i		V43(b5)/V	V		43	b5	V			Mm7	1	1	-4, 0, 2, 6		2	-4
4	3	13/2	13/2	0.5	0	0	6/8	2	1	V7(#4)		a	i		V7(#4)	V		7	#4				Mm7	1	1	1, 5, 7, -1		1	1
4	3	7	7	5.0	1/8	1/8	6/8	2	1	V7\\		a	i		V7	V		7				\\	Mm7	1	1	1, 5, 2, -1		1	1
5	4	12	12	0.5	5/8	5/8	6/8	2	1	V64		a	i		V64	V		64					M	1	1	2, 1, 5		1	2
6	5	25/2	25/2	2.5	0	0	6/8	2	1	V6		a	i		V6	V		6					M	1	1	5, 2, 1		1	5
6	5	15	15	0.5	5/8	5/8	6/8	2	1	v6		a	i		v6	v		6					m	1	1	-2, 2, 1		1	-2
7	6	31/2	31/2	2.5	0	0	6/8	2	1	V64(6b5)/VII		a	i		V64(6b5)/VII	V		64	6b5	VII			M	1	1	-7, 2, -1, 3		-1	-7
7	6	18	18	0.5	5/8	5/8	6/8	2	1	V43(b5)/VII		a	i		V43(b5)/VII	V		43	b5	VII			Mm7	1	1	-7, -3, -1, 3		-1	-7
8	7	37/2	37/2	0.5	0	0	6/8	2	1	V7(#4)/III		a	i		V7(#4)/III	V		7	#4	III			Mm7	1	1	-2, 2, 4, -4		-2	-2
8	7	19	19	3.5	1/8	1/8	6/8	2	1	V7/III\\		a	i		V7/III	V		7		III		\\	Mm7	1	1	-2, 2, -1, -4		-2	-2
9	8	45/2	45/2	0.5	1/4	1/4	6/8	2	1	VII64		a	i		VII64	VII		64					M	1	1	-1, -2, 2		-2	-1
9	8	23	23	2.0	3/8	3/8	6/8	2	1	VII6		a	i		VII6	VII		6					M	1	1	2, -1, -2		-2	2
10	9	25	25	1.5	1/8	1/8	6/8	2	1	vii6		a	i		vii6	vii		6					m	1	1	-5, -1, -2		-2	-5
10	9	53/2	53/2	1.0	1/2	1/2	6/8	2	1	i		a	i		i	i							m	1	1	0, -3, 1		0	0
11	10	55/2	55/2	2.5	0	0	6/8	2	1	#viio65(4)		a	i		#viio65(4)	#vii	o	65	4				o7	1	1	-3, -1, -4, 5		5	-3
11	10	30	30	0.5	5/8	5/8	6/8	2	1	V64(6)		a	i		V64(6)	V		64	6				M	1	1	-3, 1, 5		1	-3
12	11	61/2	61/2	0.5	0	0	6/8	2	1	V7(#4)/V		a	i		V7(#4)/V	V		7	#4	V			Mm7	1	1	2, 6, 8, 0		2	2
12	11	31	31	2.5	1/8	1/8	6/8	2	1	V7/V\\		a	i		V7/V	V		7		V		\\	Mm7	1	1	2, 6, 3, 0		2	2
13	12	67/2	67/2	2.5	0	0	6/8	2	1	#viio65(4)		a	i		#viio65(4)	#vii	o	65	4				o7	1	1	-3, -1, -4, 5		5	-3
13	12	36	36	0.5	5/8	5/8	6/8	2	1	V64(6)		a	i		V64(6)	V		64	6				M	1	1	-3, 1, 5		1	-3
14	13	73/2	73/2	0.5	0	0	6/8	2	1	V7(#4)/V		a	i		V7(#4)/V	V		7	#4	V			Mm7	1	1	2, 6, 8, 0		2	2
14	13	37	37	8.5	1/8	1/8	6/8	2	1	V7/V\\		a	i		V7/V	V		7		V		\\	Mm7	1	1	2, 6, 3, 0		2	2
17	16	91/2	91/2	0.5	0	0	6/8	2	1	V7(#8)		a	i		V7(#8)	V		7	#8				Mm7	1	1	1, 5, 2, -1		1	1
17	16	46	46	1.5	1/8	1/8	6/8	2	1	V7(9)		a	i		V7(9)	V		7	9				Mm7	1	1	1, 5, 2, -1	-4	1	1
17	16	95/2	95/2	0.5	1/2	1/2	6/8	2	1	v7		a	i		v7	v		7					mm7	1	1	1, -2, 2, -1		1	1
17	16	48	48	0.5	5/8	5/8	6/8	2	1	V7		a	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
18	17	97/2	97/2	1.5	0	0	6/8	2	1	VI(11)		a	i		VI(11)	VI			11				M	1	1	-4, 0, -3	2	-4	-4
18	17	50	50	1.5	3/8	3/8	6/8	2	1	VI		a	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
19	18	103/2	103/2	1.5	0	0	6/8	2	1	V65/VII		a	i		V65/VII	V		65		VII			Mm7	1	1	3, 0, -3, -1		-1	3
19	18	53	53	1.5	3/8	3/8	6/8	2	1	V(64)/III		a	i		V(64)/III	V			64	III			M	1	1	-2, -3, 1		-2	-2
20	19	109/2	109/2	0.5	0	0	6/8	2	1	vii%65/VII		a	i		vii%65/VII	vii	%	65		VII			%7	1	1	0, -3, 1, 3		3	0
20	19	55	55	1.0	1/8	1/8	6/8	2	1	V43/VII		a	i		V43/VII	V		43		VII			Mm7	1	1	0, -3, -1, 3		-1	0
20	19	56	56	1.0	3/8	3/8	6/8	2	1	V/III		a	i		V/III	V				III			M	1	1	-2, 2, -1		-2	-2
20	19	57	57	0.5	5/8	5/8	6/8	2	1	V2/III		a	i		V2/III	V		2		III			Mm7	1	1	-4, -2, 2, -1		-2	-4
21	20	115/2	115/2	1.0	0	0	6/8	2	1	III6		a	i		III6	III		6					M	1	1	1, -2, -3		-3	1
21	20	117/2	117/2	0.5	1/4	1/4	6/8	2	1	VI6/iv		a	i		VI6/iv	VI		6		iv			M	1	1	-1, -4, -5		-5	-1
21	20	59	59	1.5	3/8	3/8	6/8	2	1	#viio7/iv		a	i		#viio7/iv	#vii	o	7		iv			o7	1	1	4, 1, -2, -5		4	4
22	21	121/2	121/2	0.5	0	0	6/8	2	1	iv(4)		a	i		iv(4)	iv			4				m	1	1	-1, -2, 0		-1	-1
22	21	61	61	1.0	1/8	1/8	6/8	2	1	iv		a	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
22	21	62	62	0.5	3/8	3/8	6/8	2	1	bII6/iv		a	i		bII6/iv	bII		6		iv			M	1	1	-2, -5, -6		-6	-2
22	21	125/2	125/2	0.5	1/2	1/2	6/8	2	1	bIIM65/iv		a	i		bIIM65/iv	bII	M	65		iv			MM7	1	1	-2, -5, -1, -6		-6	-2
22	21	63	63	0.5	5/8	5/8	6/8	2	1	iio6/iv		a	i		iio6/iv	ii	o	6		iv			o	1	1	-2, -5, 1		1	-2
23	22	127/2	127/2	0.5	0	0	6/8	2	1	V(4)/iv		a	i		V(4)/iv	V			4	iv			M	1	1	0, -1, 1		0	0
23	22	64	64	0.5	1/8	1/8	6/8	2	1	V/iv		a	i		V/iv	V				iv			M	1	1	0, 4, 1		0	0
23	22	129/2	129/2	0.5	1/4	1/4	6/8	2	1	V7/iv		a	i		V7/iv	V		7		iv			Mm7	1	1	0, 4, 1, -2		0	0
23	22	65	65	0.5	3/8	3/8	6/8	2	1	#viio7(#4)/ii		a	i		#viio7(#4)/ii	#vii	o	7	#4	ii			o7	1	1	7, 4, 6, -2		7	7
23	22	131/2	131/2	0.5	1/2	1/2	6/8	2	1	V6(#6)/ii		a	i		V6(#6)/ii	V		6	#6	ii			M	1	1	7, 4, 3	6	3	7
23	22	66	66	0.5	5/8	5/8	6/8	2	1	V65(b5)/ii		a	i		V65(b5)/ii	V		65	b5	ii			Mm7	1	1	7, -3, 1, 3		3	7
24	23	133/2	133/2	0.5	0	0	6/8	2	1	V(4)/V		a	i		V(4)/V	V			4	V			M	1	1	2, 1, 3		2	2
24	23	67	67	1.0	1/8	1/8	6/8	2	1	V/V		a	i		V/V	V				V			M	1	1	2, 6, 3		2	2
24	23	68	68	1.5	3/8	3/8	6/8	2	1	vii%43/V		a	i		vii%43/V	vii	%	43		V			%7	1	1	0, 4, 6, 3		6	0
25	24	139/2	139/2	1.0	0	0	6/8	2	1	#iii64		a	i		#iii64	#iii		64					m	1	1	5, 4, 1		4	5
25	24	141/2	141/2	0.5	1/4	1/4	6/8	2	1	V7		a	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
25	24	71	71	0.5	3/8	3/8	6/8	2	1	I(74#2)		a	i		I(74#2)	I			74#2				M	1	1	0, 9, -1, 1	-2	0	0
25	24	143/2	143/2	1.0	1/2	1/2	6/8	2	1	I		a	i		I	I							M	1	1	0, 4, 1		0	0
26	25	145/2	145/2	2.5	0	0	6/8	2	1	vii%43/V		a	i		vii%43/V	vii	%	43		V			%7	1	1	0, 4, 6, 3		6	0
26	25	75	75	0.5	5/8	5/8	6/8	2	1	viio43/V		a	i		viio43/V	vii	o	43		V			o7	1	1	0, -3, 6, 3		6	0
27	26	151/2	151/2	0.5	0	0	6/8	2	1	V6(#11)		a	i		V6(#11)	V		6	#11				M	1	1	5, 2, 1	7	1	5
27	26	76	76	1.0	1/8	1/8	6/8	2	1	V6		a	i		V6	V		6					M	1	1	5, 2, 1		1	5
27	26	77	77	1.5	3/8	3/8	6/8	2	1	#iii7		a	i		#iii7	#iii		7					mm7	1	1	4, 1, 5, 2		4	4
28	27	157/2	157/2	2.5	0	0	6/8	2	1	V7(4)/ii		a	i		V7(4)/ii	V		7	4	ii			Mm7	1	1	3, 2, 4, 1		3	3
28	27	81	81	0.5	5/8	5/8	6/8	2	1	V/ii		a	i		V/ii	V				ii			M	1	1	3, 7, 4		3	3
29	28	163/2	163/2	0.5	0	0	6/8	2	1	V7(#13)/V		a	i		V7(#13)/V	V		7	#13	V			Mm7	1	1	2, 6, 3, 0	12	2	2
29	28	82	82	1.0	1/8	1/8	6/8	2	1	V7/V		a	i		V7/V	V		7		V			Mm7	1	1	2, 6, 3, 0		2	2
29	28	83	83	1.5	3/8	3/8	6/8	2	1	viio2/V		a	i		viio2/V	vii	o	2		V			o7	1	1	-3, 6, 3, 0		6	-3
30	29	169/2	169/2	3.0	0	0	6/8	2	1	viio7/V		a	i		viio7/V	vii	o	7		V			o7	1	1	6, 3, 0, -3		6	6
31	30	175/2	175/2	0.5	0	0	6/8	2	1	viio2(4)/V		a	i		viio2(4)/V	vii	o	2	4	V			o7	1	1	-3, 6, 5, 0		6	-3
31	30	88	88	1.0	1/8	1/8	6/8	2	1	viio2/V		a	i		viio2/V	vii	o	2		V			o7	1	1	-3, 6, 3, 0		6	-3
31	30	89	89	1.5	3/8	3/8	6/8	2	1	V6/iv		a	i		V6/iv	V		6		iv			M	1	1	4, 1, 0		0	4
32	31	181/2	181/2	3.0	0	0	6/8	2	1	V43/iv		a	i		V43/iv	V		43		iv			Mm7	1	1	1, -2, 0, 4		0	1
33	32	187/2	187/2	0.5	0	0	6/8	2	1	iv6(#7#4)		a	i		iv6(#7#4)	iv		6	#7#4				m	1	1	-4, 5, 4		-1	-4
33	32	94	94	0.5	1/8	1/8	6/8	2	1	iv6(#7)		a	i		iv6(#7)	iv		6	#7				m	1	1	-4, 0, 4		-1	-4
33	32	189/2	189/2	0.5	1/4	1/4	6/8	2	1	iv6		a	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
33	32	95	95	0.5	3/8	3/8	6/8	2	1	viio6/V		a	i		viio6/V	vii	o	6		V			o	1	1	3, 0, 6		6	3
33	32	191/2	191/2	0.5	1/2	1/2	6/8	2	1	V64/V		a	i		V64/V	V		64		V			M	1	1	3, 2, 6		2	3
33	32	96	96	0.5	5/8	5/8	6/8	2	1	ii%7/V		a	i		ii%7/V	ii	%	7		V			%7	1	1	3, 0, -3, 1		3	3
34	33	193/2	193/2	1.5	0	0	6/8	2	1	III64		a	i		III64	III		64					M	1	1	-2, -3, 1		-3	-2
34	33	98	98	0.5	3/8	3/8	6/8	2	1	#viio7(4)		a	i		#viio7(4)	#vii	o	7	4				o7	1	1	5, -3, -1, -4		5	5
34	33	197/2	197/2	1.0	1/2	1/2	6/8	2	1	#viio7		a	i		#viio7	#vii	o	7					o7	1	1	5, 2, -1, -4		5	5
35	34	199/2	199/2	0.5	0	0	6/8	2	1	vii%65/VII		a	i		vii%65/VII	vii	%	65		VII			%7	1	1	0, -3, 1, 3		3	0
35	34	100	100	0.5	1/8	1/8	6/8	2	1	V43/VII		a	i		V43/VII	V		43		VII			Mm7	1	1	0, -3, -1, 3		-1	0
35	34	201/2	201/2	0.5	1/4	1/4	6/8	2	1	V43(b5)/VII		a	i		V43(b5)/VII	V		43	b5	VII			Mm7	1	1	-7, -3, -1, 3		-1	-7
35	34	101	101	0.5	3/8	3/8	6/8	2	1	V7/III		a	i		V7/III	V		7		III			Mm7	1	1	-2, 2, -1, -4		-2	-2
35	34	203/2	203/2	0.5	1/2	1/2	6/8	2	1	v6		a	i		v6	v		6					m	1	1	-2, 2, 1		1	-2
35	34	102	102	0.5	5/8	5/8	6/8	2	1	viio64/III		a	i		viio64/III	vii	o	64		III			o	1	1	-4, 2, -1		2	-4
36	35	205/2	205/2	1.0	0	0	6/8	2	1	V65/VI		a	i		V65/VI	V		65		VI			Mm7	1	1	1, -2, -5, -3		-3	1
36	35	207/2	207/2	0.5	1/4	1/4	6/8	2	1	iv64/iv		a	i		iv64/iv	iv		64		iv			m	1	1	-1, -2, -5		-2	-1
36	35	104	104	0.5	3/8	3/8	6/8	2	1	#viio7/iv		a	i		#viio7/iv	#vii	o	7		iv			o7	1	1	4, 1, -2, -5		4	4
36	35	209/2	209/2	0.5	1/2	1/2	6/8	2	1	V6/iv		a	i		V6/iv	V		6		iv			M	1	1	4, 1, 0		0	4
36	35	105	105	0.5	5/8	5/8	6/8	2	1	#viio7/iv		a	i		#viio7/iv	#vii	o	7		iv			o7	1	1	4, 1, -2, -5		4	4
37	36	211/2	211/2	1.0	0	0	6/8	2	1	iv(4)		a	i		iv(4)	iv			4				m	1	1	-1, -2, 0		-1	-1
37	36	213/2	213/2	0.5	1/4	1/4	6/8	2	1	iv		a	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
37	36	107	107	0.5	3/8	3/8	6/8	2	1	viio6(b3)/III		a	i		viio6(b3)/III	vii	o	6	b3	III			o	1	1	-8, -4, 2		2	-8
37	36	215/2	215/2	0.75	1/2	1/2	6/8	2	1	V43(b5)/III		a	i		V43(b5)/III	V		43	b5	III			Mm7	1	1	-8, -4, -2, 2		-2	-8
37	36	433/4	433/4	0.25	11/16	11/16	6/8	2	1	vii%65(b3)/III		a	i		vii%65(b3)/III	vii	%	65	b3	III			%7	1	1	-8, -4, 0, 2		2	-8
38	37	217/2	217/2	0.5	0	0	6/8	2	1	V7(#4)/VI		a	i		V7(#4)/VI	V		7	#4	VI			Mm7	1	1	-3, 1, 3, -5		-3	-3
38	37	109	109	1.0	1/8	1/8	6/8	2	1	V7/VI		a	i		V7/VI	V		7		VI			Mm7	1	1	-3, 1, -2, -5		-3	-3
38	37	110	110	0.5	3/8	3/8	6/8	2	1	viio6(b3)/III		a	i		viio6(b3)/III	vii	o	6	b3	III			o	1	1	-8, -4, 2		2	-8
38	37	221/2	221/2	0.75	1/2	1/2	6/8	2	1	V43(b5)/III		a	i		V43(b5)/III	V		43	b5	III			Mm7	1	1	-8, -4, -2, 2		-2	-8
38	37	445/4	445/4	0.25	11/16	11/16	6/8	2	1	vii%65(b3)/III		a	i		vii%65(b3)/III	vii	%	65	b3	III			%7	1	1	-8, -4, 0, 2		2	-8
39	38	223/2	223/2	0.5	0	0	6/8	2	1	V7(#4)/VI		a	i		V7(#4)/VI	V		7	#4	VI			Mm7	1	1	-3, 1, 3, -5		-3	-3
39	38	112	112	1.0	1/8	1/8	6/8	2	1	V7/VI		a	i		V7/VI	V		7		VI			Mm7	1	1	-3, 1, -2, -5		-3	-3
39	38	113	113	0.5	3/8	3/8	6/8	2	1	#viio6(b3)/iv		a	i		#viio6(b3)/iv	#vii	o	6	b3	iv			o	1	1	-6, -2, 4		4	-6
39	38	227/2	227/2	0.75	1/2	1/2	6/8	2	1	V43(b5)/iv		a	i		V43(b5)/iv	V		43	b5	iv			Mm7	1	1	-6, -2, 0, 4		0	-6
39	38	457/4	457/4	0.25	11/16	11/16	6/8	2	1	#viio65(b3)/iv		a	i		#viio65(b3)/iv	#vii	o	65	b3	iv			o7	1	1	-6, -2, -5, 4		4	-6
40	39	229/2	229/2	0.5	0	0	6/8	2	1	V7(#4)/VII		a	i		V7(#4)/VII	V		7	#4	VII			Mm7	1	1	-1, 3, 5, -3		-1	-1
40	39	115	115	1.0	1/8	1/8	6/8	2	1	V7/VII		a	i		V7/VII	V		7		VII			Mm7	1	1	-1, 3, 0, -3		-1	-1
40	39	116	116	0.5	3/8	3/8	6/8	2	1	#viio6(b3)/iv		a	i		#viio6(b3)/iv	#vii	o	6	b3	iv			o	1	1	-6, -2, 4		4	-6
40	39	233/2	233/2	0.75	1/2	1/2	6/8	2	1	V43(b5)/iv		a	i		V43(b5)/iv	V		43	b5	iv			Mm7	1	1	-6, -2, 0, 4		0	-6
40	39	469/4	469/4	0.25	11/16	11/16	6/8	2	1	#viio65(b3)/iv		a	i		#viio65(b3)/iv	#vii	o	65	b3	iv			o7	1	1	-6, -2, -5, 4		4	-6
41	40	235/2	235/2	0.5	0	0	6/8	2	1	V7(#4)/VII		a	i		V7(#4)/VII	V		7	#4	VII			Mm7	1	1	-1, 3, 5, -3		-1	-1
41	40	118	118	1.0	1/8	1/8	6/8	2	1	V7/VII		a	i		V7/VII	V		7		VII			Mm7	1	1	-1, 3, 0, -3		-1	-1
41	40	119	119	0.5	3/8	3/8	6/8	2	1	viio6(b3)/V		a	i		viio6(b3)/V	vii	o	6	b3	V			o	1	1	-4, 0, 6		6	-4
41	40	239/2	239/2	0.75	1/2	1/2	6/8	2	1	V43(b5)/V		a	i		V43(b5)/V	V		43	b5	V			Mm7	1	1	-4, 0, 2, 6		2	-4
