piece	TimeSig	KeySig	last_mc	last_mn	length_qb	last_mc_unfolded	last_mn_unfolded	length_qb_unfolded	volta_mcs	all_notes_qb	n_onsets	n_onset_positions	guitar_chord_count	form_label_count	label_count	annotated_key	harmony_version	annotators	reviewers	composed_start	composed_end	composer	workTitle	movementNumber	movementTitle	workNumber	poet	lyricist	arranger	copyright	creationDate	mscVersion	platform	source	translator	title_text	subtitle_text	lyricist_text	composer_text	musescore	ms3_version	subdirectory	rel_path	has_drumset	ambitus	path	extension	annotator	reviewer	originalFormat	staff_1_instrument	staff_1_ambitus	staff_2_instrument	staff_2_ambitus	staff_3_instrument	staff_3_ambitus
c01n01_prelude	1: 4/4	1: 1	25	23	98	25	23	98		219	386	251	0	0	93	G	2.1.0	Eva-Maria Hamberger	Johannes Menke	1722	1722	François Couperin	Concert no. 1		Concert Royal no 1: Prélude					© Les Éditions Outremontaises, 2006	2019-10-09	3.02	Linux			"<font size=""13.5""/><font face=""SnellRoundhand BlackScript""/>Concerts Royaux (1722)"	"<font size=""18""/><font face=""SnellRoundhand BoldScript""/>~ Premier Concert ~; <font size=""27""/><font face=""SnellRoundhand BoldScript""/>Prélude"		"<font size=""18""/><font face=""SnellRoundhand BoldScript""/>François Couperin<font size=""13.5""/><font face=""SnellRoundhand BoldScript""/> 
<font size=""10.5""/><font face=""SnellRoundhand BoldScript""/>(1668-1733)"	3.6.2	1.2.7	MS3	MS3/c01n01_prelude.mscx	False	36-84 (C2-C6)	MS3/c01n01_prelude.mscx	.mscx	Eva-Maria Hamberger	Johannes Menke	xml	Instrument 1	59-84 (B3-C6)	Instrument 1	36-57 (C2-A3)		
c01n02_allemande	1: 4/4	1: 1	20	18	72	40	36	144		168.5	346	207	0	0	76	G	2.1.0	Eva-Maria Hamberger	Johannes Menke	1722	1722	François Couperin	Concert no. 1		Concert Royal no 1: Allemande					© Les Éditions Outremontaises, 2006	2019-10-09	3.02	Linux			"<font size=""13.5""/><font face=""SnellRoundhand BlackScript""/>Concerts Royaux (1722)"	"<font size=""27""/><font face=""SnellRoundhand BoldScript""/>Allemande; <font size=""18""/><font face=""SnellRoundhand BoldScript""/>~ Premier Concert ~"	"<font size=""12""/>2"	"<font size=""18""/><font face=""SnellRoundhand BoldScript""/>François Couperin<font size=""13.5""/><font face=""SnellRoundhand BoldScript""/> 
<font size=""10.5""/><font face=""SnellRoundhand BoldScript""/>(1668-1733)"	3.6.2	1.2.7	MS3	MS3/c01n02_allemande.mscx	False	31-83 (G1-B5)	MS3/c01n02_allemande.mscx	.mscx	Eva-Maria Hamberger	Johannes Menke	xml	Instrument 1	59-83 (B3-B5)	Instrument 1	31-66 (G1-F#4)		
c01n03_sarabande	1: 3/4	1: -2	30	28	90	56	56	168	(((8,), (9,)), ((29,), (30,)))	237.75	291	159	0	0	67	g	2.1.0	Eva-Maria Hamberger	Johannes Menke	1722	1722	François Couperin	Concert no. 1		Concert Royal no 1: Sarabande					© Les Éditions Outremontaises, 2006	2019-10-09	3.02	Linux			"<font size=""13.5""/><font face=""SnellRoundhand BlackScript""/>Concerts Royaux (1722)"	"<font size=""27""/><font face=""SnellRoundhand BoldScript""/>Sarabande; <font size=""18""/><font face=""SnellRoundhand BoldScript""/>~ Premier Concert ~"		"<font size=""12""/>3; <font size=""18""/><font face=""SnellRoundhand BoldScript""/>François Couperin<font size=""13.5""/><font face=""SnellRoundhand BoldScript""/> 
<font size=""10.5""/><font face=""SnellRoundhand BoldScript""/>(1668-1733)"	3.6.2	1.2.7	MS3	MS3/c01n03_sarabande.mscx	False	31-81 (G1-A5)	MS3/c01n03_sarabande.mscx	.mscx	Eva-Maria Hamberger	Johannes Menke	xml	Instrument 1	58-81 (Bb3-A5)	Instrument 1	31-67 (G1-G4)		
c01n04_gavotte	1: 2/2	1: -2	18	14	60	32	28	112	(((5,), (6,)), ((17,), (18,)))	135	195	113	0	0	52	g	2.1.0	Eva-Maria Hamberger	Johannes Menke	1722	1722	François Couperin	Concert no. 1		Concert Royal no 1: Gavotte					© Les Éditions Outremontaises, 2006	2019-10-09	3.02	Linux			"<font size=""13.5""/><font face=""SnellRoundhand BlackScript""/>Concerts Royaux (1722)"	"<font size=""27""/><font face=""SnellRoundhand BoldScript""/>Gavotte; <font size=""18""/><font face=""SnellRoundhand BoldScript""/>~ Premier Concert ~"	"<font size=""12""/>4"	"<font size=""18""/><font face=""SnellRoundhand BoldScript""/>François Couperin<font size=""13.5""/><font face=""SnellRoundhand BoldScript""/> 
<font size=""10.5""/><font face=""SnellRoundhand BoldScript""/>(1668-1733)"	3.6.2	1.2.7	MS3	MS3/c01n04_gavotte.mscx	False	38-79 (D2-G5)	MS3/c01n04_gavotte.mscx	.mscx	Eva-Maria Hamberger	Johannes Menke	xml	Instrument 1	58-79 (Bb3-G5)	Instrument 1	38-57 (D2-A3)		
c01n05_gigue	1: 6/8	1: 1	33	30	93.5	62	60	180	(((11,), (12,)), ((32,), (33,)))	194	389	215	0	0	134	G	2.1.0	Eva-Maria Hamberger	Johannes Menke	1722	1722	François Couperin	Concert no. 1		Concert Royal no 1: Gigue					© Les Éditions Outremontaises, 2006	2019-10-09	3.02	Linux			"<font size=""13.5""/><font face=""SnellRoundhand BlackScript""/>Concerts Royaux (1722)"	"<font size=""18""/><font face=""SnellRoundhand BoldScript""/>~ Premier Concert ~; <font size=""27""/><font face=""SnellRoundhand BoldScript""/>Gigue"	"<font size=""12""/>6"	"<font size=""18""/><font face=""SnellRoundhand BoldScript""/>François Couperin<font size=""13.5""/><font face=""SnellRoundhand BoldScript""/> 
<font size=""10.5""/><font face=""SnellRoundhand BoldScript""/>(1668-1733)"	3.6.2	1.2.7	MS3	MS3/c01n05_gigue.mscx	False	38-83 (D2-B5)	MS3/c01n05_gigue.mscx	.mscx	Eva-Maria Hamberger	Johannes Menke	xml	Instrument 1	59-83 (B3-B5)	Instrument 1	38-64 (D2-E4)		
c01n06_menuet_en_trio	1: 3/4	1: -2	26	24	78	56	56	168	(((8,), (9,)), ((25,), (26,)))	211	252	132	0	0	46	g	2.1.0	Eva-Maria Hamberger	Johannes Menke	1722	1722	François Couperin	Concert no. 1		Concert Royal no 1: Menuet					© Les Éditions Outremontaises, 2006	2019-10-09	3.02	Linux			"<font size=""13.5""/><font face=""SnellRoundhand BlackScript""/>Concerts Royaux (1722)"	"<font size=""18""/><font face=""SnellRoundhand BoldScript""/>~ Premier Concert ~; <font size=""27""/><font face=""SnellRoundhand BoldScript""/>Menuet en Trio"		"<font size=""18""/><font face=""SnellRoundhand BoldScript""/>François Couperin<font size=""13.5""/><font face=""SnellRoundhand BoldScript""/> 
<font size=""10.5""/><font face=""SnellRoundhand BoldScript""/>(1668-1733); <font size=""12""/>5"	3.6.2	1.2.7	MS3	MS3/c01n06_menuet_en_trio.mscx	False	38-82 (D2-Bb5)	MS3/c01n06_menuet_en_trio.mscx	.mscx	Eva-Maria Hamberger	Johannes Menke	xml	Instrument 1	65-82 (F4-Bb5)	Instrument 1	38-67 (D2-G4)		
c02n01_prelude	1: 3/4	1: 2	39	37	114	39	37	114		245.5	296	174	0	0	88	D	2.1.0	Eva-Maria Hamberger	Johannes Menke	1722	1722	François Couperin	Concert no. 2		Concert Royal no 2: Prélude					© Les Éditions Outremontaises, 2006	2019-10-09	3.02	Linux			"<font size=""13.5""/><font face=""SnellRoundhand BlackScript""/>Concerts Royaux (1722)"	"<font size=""18""/><font face=""SnellRoundhand BoldScript""/>~ Second Concert ~; <font size=""27""/><font face=""SnellRoundhand BoldScript""/>Prélude"		"<font size=""18""/><font face=""SnellRoundhand BoldScript""/>François Couperin<font size=""13.5""/><font face=""SnellRoundhand BoldScript""/> 
<font size=""10.5""/><font face=""SnellRoundhand BoldScript""/>(1668-1733)"	3.6.2	1.2.7	MS3	MS3/c02n01_prelude.mscx	False	33-83 (A1-B5)	MS3/c02n01_prelude.mscx	.mscx	Eva-Maria Hamberger	Johannes Menke	xml	Instrument 1	61-83 (C#4-B5)	Instrument 1	33-67 (A1-G4)		
c02n02_allemande_fuguee	1: 4/4	1: 2	26	24	96	52	48	192		189.75	441	285	0	0	131	D	2.1.0	Eva-Maria Hamberger	Johannes Menke	1722	1722	François Couperin	Concert no. 2		Concert Royal no 2: Allemande					© Les Éditions Outremontaises, 2006	2019-10-09	3.02	Linux			"<font size=""13.5""/><font face=""SnellRoundhand BlackScript""/>Concerts Royaux (1722)"	"<font size=""27""/><font face=""SnellRoundhand BoldScript""/>Allemande Fuguée; <font size=""18""/><font face=""SnellRoundhand BoldScript""/>~ Second Concert ~"	"<font size=""12""/>2"	"<font size=""18""/><font face=""SnellRoundhand BoldScript""/>François Couperin<font size=""13.5""/><font face=""SnellRoundhand BoldScript""/> 
<font size=""10.5""/><font face=""SnellRoundhand BoldScript""/>(1668-1733)"	3.6.2	1.2.7	MS3	MS3/c02n02_allemande_fuguee.mscx	False	38-84 (D2-C6)	MS3/c02n02_allemande_fuguee.mscx	.mscx	Eva-Maria Hamberger	Johannes Menke	xml	Instrument 1	59-84 (B3-C6)	Instrument 1	38-64 (D2-E4)		
c02n03_air_tendre	1: 3/4	1: -1	40	40	120	80	80	240		227.25	267	161	0	0	82	d	2.1.0	Eva-Maria Hamberger	Johannes Menke	1722	1722	François Couperin	Concert no. 2		Concert Royal no 2: Air tendre					© Les Éditions Outremontaises, 2006	2019-10-09	3.02	Linux			"<font size=""13.5""/><font face=""SnellRoundhand BlackScript""/>Concerts Royaux (1722)"	"<font size=""27""/><font face=""SnellRoundhand BoldScript""/>Air Tendre; <font size=""18""/><font face=""SnellRoundhand BoldScript""/>~ Second Concert ~"	"<font size=""12""/>4"	"<font size=""18""/><font face=""SnellRoundhand BoldScript""/>François Couperin<font size=""13.5""/><font face=""SnellRoundhand BoldScript""/> 
<font size=""10.5""/><font face=""SnellRoundhand BoldScript""/>(1668-1733)"	3.6.2	1.2.7	MS3	MS3/c02n03_air_tendre.mscx	False	36-82 (C2-Bb5)	MS3/c02n03_air_tendre.mscx	.mscx	Eva-Maria Hamberger	Johannes Menke	xml	Instrument 1	57-82 (A3-Bb5)	Instrument 1	36-65 (C2-F4)		
c02n04_air_contrefugue	1: 2/4	1: -1	65	62	126	128	124	249.5	(((64,), (65,)),)	259	679	411	0	0	154	d	2.1.0	Eva-Maria Hamberger	Johannes Menke	1722	1722	François Couperin	Concert no. 2		Concert Royal no 2: Air contrefugué					© Les Éditions Outremontaises, 2006	2019-10-25	3.02	Microsoft Windows			"<font size=""13.5""/><font face=""SnellRoundhand BlackScript""/>Concerts Royaux (1722)"	"<font size=""27""/><font face=""SnellRoundhand BoldScript""/>Air Contrefugué; <font size=""18""/><font face=""SnellRoundhand BoldScript""/>~ Second Concert ~"		"<font size=""18""/><font face=""SnellRoundhand BoldScript""/>François Couperin<font size=""13.5""/><font face=""SnellRoundhand BoldScript""/> 
<font size=""10.5""/><font face=""SnellRoundhand BoldScript""/>(1668-1733); <font size=""12""/>5"	3.6.2	1.2.7	MS3	MS3/c02n04_air_contrefugue.mscx	False	36-86 (C2-D6)	MS3/c02n04_air_contrefugue.mscx	.mscx	Eva-Maria Hamberger	Johannes Menke	xml	Instrument 1	57-86 (A3-D6)	Instrument 1	36-67 (C2-G4)		
c02n05_echos	1: 3/4	1: 2	85	85	255	139	139	417		644	817	393	0	0	158	D	2.1.0	Eva-Maria Hamberger	Johannes Menke	1722	1722	François Couperin	Concert no. 2		Concert Royal no 2: Échos					© Les Éditions Outremontaises, 2006	2019-10-09	3.02	Linux			"<font size=""13.5""/><font face=""SnellRoundhand BlackScript""/>Concerts Royaux (1722)"	"<font size=""27""/><font face=""SnellRoundhand BoldScript""/>Échos; <font size=""18""/><font face=""SnellRoundhand BoldScript""/>~ Second Concert ~"		"<font size=""12""/>7; <font size=""18""/><font face=""SnellRoundhand BoldScript""/>François Couperin<font size=""13.5""/><font face=""SnellRoundhand BoldScript""/> 
<font size=""10.5""/><font face=""SnellRoundhand BoldScript""/>(1668-1733)"	3.6.2	1.2.7	MS3	MS3/c02n05_echos.mscx	False	38-81 (D2-A5)	MS3/c02n05_echos.mscx	.mscx	Eva-Maria Hamberger	Johannes Menke	xml	Instrument 1	66-81 (F#4-A5)	Instrument 1	38-67 (D2-G4)		
c03n01_prelude	1: 4/4	1: 3	19	18	70.25	19	18	70.25		216	380	209	0	0	77	A	2.1.0	Tobias Drewelius	Johannes Menke	1722	1722	François Couperin	Concert no. 2		Concert Royal no 3: Prélude					© Les Éditions Outremontaises, 2006	2019-10-09	3.02	Linux			"<font size=""13.5""/><font face=""SnellRoundhand BlackScript""/>Concerts Royaux (1722)"	"<font size=""18""/><font face=""SnellRoundhand BoldScript""/>~ Troisième Concert ~; <font size=""27""/><font face=""SnellRoundhand BoldScript""/>Prélude"		"<font size=""18""/><font face=""SnellRoundhand BoldScript""/>François Couperin<font size=""13.5""/><font face=""SnellRoundhand BoldScript""/> 
<font size=""10.5""/><font face=""SnellRoundhand BoldScript""/>(1668-1733)"	3.6.2	1.2.7	MS3	MS3/c03n01_prelude.mscx	False	33-83 (A1-B5)	MS3/c03n01_prelude.mscx	.mscx	Tobias Drewelius	Johannes Menke	xml	Instrument 1	61-83 (C#4-B5)	Instrument 1	33-66 (A1-F#4)		
c03n02_allemande	1: 4/4	1: 3	20	17	72	40	34	144		159.75	356	228	0	0	106	A	2.1.0	Tobias Drewelius	Johannes Menke	1722	1722	François Couperin	Concert no. 2		Concert Royal no 3: Allemande					© Les Éditions Outremontaises, 2006	2019-10-09	3.02	Linux			"<font size=""13.5""/><font face=""SnellRoundhand BlackScript""/>Concerts Royaux (1722)"	"<font size=""27""/><font face=""SnellRoundhand BoldScript""/>Allemande; <font size=""18""/><font face=""SnellRoundhand BoldScript""/>~ Troisième Concert ~"		"<font size=""12""/>3; <font size=""18""/><font face=""SnellRoundhand BoldScript""/>François Couperin<font size=""13.5""/><font face=""SnellRoundhand BoldScript""/> 
<font size=""10.5""/><font face=""SnellRoundhand BoldScript""/>(1668-1733)"	3.6.2	1.2.7	MS3	MS3/c03n02_allemande.mscx	False	33-83 (A1-B5)	MS3/c03n02_allemande.mscx	.mscx	Tobias Drewelius	Johannes Menke	xml	Instrument 1	57-83 (A3-B5)	Instrument 1	33-63 (A1-D#4)		
c03n03_courante	1: 3/2	1: 0	28	25	162.5	49	48	288.5	(((11,), (12,)), ((25,), (26,)))	453.25	390	216	0	0	97	a	2.1.0	Tobias Drewelius	Johannes Menke	1722	1722	François Couperin	Concert no. 3		Concert Royal no 3: Courante					© Les Éditions Outremontaises, 2006	2019-10-09	3.02	Linux			"<font size=""13.5""/><font face=""SnellRoundhand BlackScript""/>Concerts Royaux (1722)"	"<font size=""18""/><font face=""SnellRoundhand BoldScript""/>~ Troisième Concert ~; <font size=""27""/><font face=""SnellRoundhand BoldScript""/>Courante"	"<font size=""12""/>4"	"<font size=""18""/><font face=""SnellRoundhand BoldScript""/>François Couperin<font size=""13.5""/><font face=""SnellRoundhand BoldScript""/> 
<font size=""10.5""/><font face=""SnellRoundhand BoldScript""/>(1668-1733)"	3.6.2	1.2.7	MS3	MS3/c03n03_courante.mscx	False	33-84 (A1-C6)	MS3/c03n03_courante.mscx	.mscx	Tobias Drewelius	Johannes Menke	xml	Instrument 1	60-84 (C4-C6)	Instrument 1	33-62 (A1-D4)		
c03n04_sarabande_grave	1: 3/4	1: 0	32	32	96	64	64	192		324	348	173	0	0	70	a	2.1.0	Tobias Drewelius	Johannes Menke	1722	1722	François Couperin	Concert no. 2		Concert Royal no 3: Sarabande					© Les Éditions Outremontaises, 2006	2019-10-09	3.02	Linux			"<font size=""13.5""/><font face=""SnellRoundhand BlackScript""/>Concerts Royaux (1722)"	"<font size=""18""/><font face=""SnellRoundhand BoldScript""/>~ Troisième Concert ~; <font size=""27""/><font face=""SnellRoundhand BoldScript""/>Sarabande grave"	"<font size=""12""/>6"	"<font size=""18""/><font face=""SnellRoundhand BoldScript""/>François Couperin<font size=""13.5""/><font face=""SnellRoundhand BoldScript""/> 
<font size=""10.5""/><font face=""SnellRoundhand BoldScript""/>(1668-1733)"	3.6.2	1.2.7	MS3	MS3/c03n04_sarabande_grave.mscx	False	33-81 (A1-A5)	MS3/c03n04_sarabande_grave.mscx	.mscx	Tobias Drewelius	Johannes Menke	xml	Instrument 1	59-81 (B3-A5)	Instrument 1	33-62 (A1-D4)		
c03n05_gavotte	1: 2/2	1: 0	28	25	104	56	50	208		244.5	356	192	0	0	87	a	2.1.0	Tobias Drewelius	Johannes Menke	1722	1722	François Couperin	Concert no. 3		Concert Royal no 3: Gavotte					© Les Éditions Outremontaises, 2006	2019-10-09	3.02	Linux			"<font size=""13.5""/><font face=""SnellRoundhand BlackScript""/>Concerts Royaux (1722)"	"<font size=""27""/><font face=""SnellRoundhand BoldScript""/>Gavotte; <font size=""18""/><font face=""SnellRoundhand BoldScript""/>~ Troisième Concert ~"		"<font size=""12""/>7; <font size=""18""/><font face=""SnellRoundhand BoldScript""/>François Couperin<font size=""13.5""/><font face=""SnellRoundhand BoldScript""/> 
<font size=""10.5""/><font face=""SnellRoundhand BoldScript""/>(1668-1733)"	3.6.2	1.2.7	MS3	MS3/c03n05_gavotte.mscx	False	33-81 (A1-A5)	MS3/c03n05_gavotte.mscx	.mscx	Tobias Drewelius	Johannes Menke	xml	Instrument 1	60-81 (C4-A5)	Instrument 1	33-64 (A1-E4)		
c03n06_musette_1	1: 6/8	1: 3, 19: 0	32	28	84	64	56	168		150	204	130	0	0	28	A	2.1.0	Tobias Drewelius	Johannes Menke	1722	1722	François Couperin	Concert no. 2		Concert Royal no 3: Muzette					© Les Éditions Outremontaises, 2006	2019-10-09	3.02	Linux			"<font size=""13.5""/><font face=""SnellRoundhand BlackScript""/>Concerts Royaux (1722)"	"<font size=""18""/><font face=""SnellRoundhand BoldScript""/>~ Troisième Concert ~; <font size=""27""/><font face=""SnellRoundhand BoldScript""/>Muzette"	"<font size=""12""/>8"	"<font size=""18""/><font face=""SnellRoundhand BoldScript""/>François Couperin<font size=""13.5""/><font face=""SnellRoundhand BoldScript""/> 
<font size=""10.5""/><font face=""SnellRoundhand BoldScript""/>(1668-1733)"	3.6.2	1.2.7	MS3	MS3/c03n06_musette_1.mscx	False	40-81 (E2-A5)	MS3/c03n06_musette_1.mscx	.mscx	Tobias Drewelius	Johannes Menke	xml	Instrument 1	60-81 (C4-A5)	Instrument 1	40-52 (E2-E3)		
